Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-24,219.77215576171875,203.25999450683594,169.3445587158203,390.0935974121094,220.72999572753906,203.25999450683594,169.92999267578125,393.0799865722656,221.47999572753906,203.63999938964844,170.5,395.3999938964844,218.5800018310547,199.9499969482422,167.44000244140625,389.80999755859375,221.0,200.0,169.26499938964844,395.3999938964844,44299500,41625400,18742800,21004500
2025-03-25,222.77903747558594,205.7100067138672,172.19471740722656,392.1578063964844,223.75,205.7100067138672,172.7899932861328,395.1600036621094,224.10000610351562,206.2100067138672,172.91000366210938,396.3599853515625,220.0800018310547,203.22000122070312,170.5500030517578,392.6400146484375,220.77000427246094,203.60000610351562,171.17999267578125,393.9200134277344,34493600,31171200,13841600,15775000
2025-03-26,220.56866455078125,201.1300048828125,166.5641632080078,387.0072326660156,221.52999877929688,201.1300048828125,167.13999938964844,389.9700012207031,225.02000427246094,206.00999450683594,171.94000244140625,395.30999755859375,220.47000122070312,199.92999267578125,166.86099243164062,388.57000732421875,223.50999450683594,205.83999633789062,171.3000030517578,395.0,34466100,32855300,22498000,16108400
2025-03-27,222.8786163330078,201.36000061035156,163.51470947265625,387.612548828125,223.85000610351562,201.36000061035156,164.0800018310547,390.5799865722656,224.99000549316406,203.7899932861328,167.44000244140625,392.239990234375,220.55999755859375,199.27999877929688,163.85000610351562,387.3999938964844,221.38999938964844,200.88999938964844,166.7100067138672,390.1300048828125,37094800,27317700,21571200,13766800
2025-03-28,216.95440673828125,192.72000122070312,155.5223388671875,375.922119140625,217.89999389648438,192.72000122070312,156.05999755859375,378.79998779296875,223.80999755859375,199.25999450683594,163.80999755859375,389.1300048828125,217.67999267578125,191.8800048828125,155.33900451660156,376.92999267578125,221.6699981689453,198.4199981689453,162.36000061035156,388.0799865722656,39818600,52548200,34866500,21632000
2025-03-31,221.16607666015625,190.25999450683594,155.69175720214844,372.53802490234375,222.1300048828125,190.25999450683594,156.22999572753906,375.3900146484375,225.6199951171875,191.3300018310547,157.1300048828125,377.07000732421875,216.22999572753906,184.39999389648438,152.2100067138672,367.239990234375,217.00999450683594,188.19000244140625,154.80999755859375,372.5400085449219,65299300,63547600,33591600,35184700
2025-04-01,222.22146606445312,192.1699981689453,158.3326416015625,379.2863464355469,223.19000244140625,192.1699981689453,158.8800048828125,382.19000244140625,223.67999267578125,193.92999267578125,160.0800018310547,382.8500061035156,218.89999389648438,187.1999969482422,155.2550048828125,373.2300109863281,219.80999755859375,187.86000061035156,155.3000030517578,374.6499938964844,36412700,41267300,20111400,19689500
2025-04-02,222.9184112548828,196.00999450683594,158.31271362304688,379.2367248535156,223.88999938964844,196.00999450683594,158.86000061035156,382.1400146484375,225.19000244140625,198.33999633789062,160.27499389648438,385.0799865722656,221.02000427246094,187.66000366210938,156.52999877929688,376.6199951171875,221.32000732421875,187.66000366210938,156.9600067138672,377.9700012207031,35905900,53679200,17113300,16092600
2025-04-03,202.30824279785156,178.41000366210938,152.10415649414062,370.2752990722656,203.19000244140625,178.41000366210938,152.6300048828125,373.1099853515625,207.49000549316406,184.1300048828125,154.68699645996094,377.4800109863281,201.25,176.9199981689453,152.17999267578125,369.3500061035156,205.5399932861328,183.0,152.8350067138672,374.7900085449219,103419000,95553600,28416100,30198000
2025-04-04,187.56253051757812,171.0,147.23101806640625,357.10614013671875,188.3800048828125,171.0,147.74000549316406,359.8399963378906,199.8800048828125,178.13999938964844,153.08999633789062,374.5899963378906,187.33999633789062,166.0,147.5399932861328,359.4800109863281,193.88999938964844,167.14999389648438,149.89999389648438,364.1300048828125,125910900,123159400,39832200,49209900
2025-04-07,180.6725616455078,175.25999450683594,148.72584533691406,355.1411437988281,181.4600067138672,175.25999450683594,149.24000549316406,357.8599853515625,194.14999389648438,183.41000366210938,154.92999267578125,371.0,174.6199951171875,161.3800048828125,142.66000366210938,344.7900085449219,177.1999969482422,162.0,143.38999938964844,350.8800048828125,160466300,109327100,47823000,50425000
2025-04-08,171.67178344726562,170.66000366210938,146.0749969482422,351.8662414550781,172.4199981689453,170.66000366210938,146.5800018310547,354.55999755859375,190.33999633789062,185.89999389648438,154.44000244140625,373.6499938964844,169.2100067138672,168.57000732421875,145.2100067138672,350.25,186.6999969482422,185.22999572753906,153.5749969482422,368.260009765625,120859500,87710400,35304400,35868900
2025-04-09,197.98709106445312,191.10000610351562,160.50511169433594,387.5232849121094,198.85000610351562,191.10000610351562,161.05999755859375,390.489990234375,200.61000061035156,192.64999389648438,161.8699951171875,393.2300109863281,171.88999938964844,169.92999267578125,145.80999755859375,353.1000061035156,171.9499969482422,172.1199951171875,146.3300018310547,353.5400085449219,184395900,116804300,46479500,50199700
2025-04-10,189.5936737060547,181.22000122070312,154.834716796875,378.45269775390625,190.4199981689453,181.22000122070312,155.3699951171875,381.3500061035156,194.77999877929688,186.8699951171875,160.02999877929688,383.8999938964844,183.0,175.85000610351562,152.1999969482422,367.79998779296875,189.07000732421875,185.44000244140625,158.75999450683594,382.05999755859375,121880000,68302000,35270500,38024400
2025-04-11,197.2901153564453,184.8699951171875,158.850830078125,385.498779296875,198.14999389648438,184.8699951171875,159.39999389648438,388.45001220703125,199.5399932861328,185.86000061035156,159.86000061035156,390.04998779296875,186.05999755859375,178.0,155.5850067138672,378.8900146484375,186.10000610351562,179.92999267578125,155.5850067138672,380.6400146484375,87435900,50594300,22582000,23839200
2025-04-14,201.6411590576172,182.1199951171875,160.9136962890625,384.8636169433594,202.52000427246094,182.1199951171875,161.47000122070312,387.80999755859375,212.94000244140625,187.44000244140625,164.02999877929688,394.6499938964844,201.16000366210938,179.22999572753906,159.9199981689453,384.2099914550781,211.44000244140625,186.83999633789062,162.30999755859375,393.2200012207031,101352900,48002500,18255900,19251200
